,date,year,month,day,dow,holiday,decade,prevcalls,sum,calls
141,2019-11-21,2019,11,21,3,1,2,18,1069926,4
142,2019-11-22,2019,11,22,4,1,2,4,1069926,2
143,2019-11-26,2019,11,26,1,1,3,2,1069926,4
144,2019-11-27,2019,11,27,2,0,3,4,1069926,10
145,2019-11-28,2019,11,28,3,0,3,10,1069926,14
146,2019-11-29,2019,11,29,4,1,3,14,1069926,1
147,2019-12-02,2019,12,2,0,1,1,1,1084682,3
148,2019-12-03,2019,12,3,1,1,1,3,1084682,6
149,2019-12-04,2019,12,4,2,1,1,6,1084682,8
150,2019-12-05,2019,12,5,3,1,1,8,1084682,3
151,2019-12-06,2019,12,6,4,1,1,3,1084682,1
152,2019-12-09,2019,12,9,0,1,2,1,1084682,9
153,2019-12-12,2019,12,12,3,0,2,9,1084682,11
154,2019-12-20,2019,12,20,4,1,2,11,1084682,2
155,2020-12-30,2020,12,30,2,0,3,2,1377753,38
156,2020-12-31,2020,12,31,3,0,3,38,1377753,14
157,2019-12-31,2019,12,31,1,1,3,14,1084682,1
158,2020-01-10,2020,1,10,4,1,1,1,1087266,2
159,2020-01-13,2020,1,13,0,1,1,2,1087266,3
160,2020-01-14,2020,1,14,1,1,1,3,1087266,8
161,2020-01-15,2020,1,15,2,1,2,8,1087266,5
162,2020-01-16,2020,1,16,3,0,2,5,1087266,11
163,2020-01-17,2020,1,17,4,0,2,11,1087266,23
164,2020-01-20,2020,1,20,0,1,2,23,1087266,7
165,2020-01-21,2020,1,21,1,1,2,7,1087266,6
166,2020-01-22,2020,1,22,2,0,2,6,1087266,10
167,2020-01-23,2020,1,23,3,1,2,10,1087266,6
168,2020-01-24,2020,1,24,4,1,2,6,1087266,8
169,2020-01-27,2020,1,27,0,1,3,8,1087266,2
170,2020-01-28,2020,1,28,1,0,3,2,1087266,10
171,2020-01-29,2020,1,29,2,1,3,10,1087266,2
172,2020-01-30,2020,1,30,3,1,3,2,1087266,6
173,2020-01-31,2020,1,31,4,1,3,6,1087266,6
174,2020-02-03,2020,2,3,0,1,1,6,1014503,5
175,2020-02-05,2020,2,5,2,0,1,5,1014503,12
176,2020-02-06,2020,2,6,3,1,1,12,1014503,1
177,2020-02-07,2020,2,7,4,0,2,1,1014503,15
178,2020-02-10,2020,2,10,0,1,2,15,1014503,1
179,2020-02-11,2020,2,11,1,1,2,1,1014503,4
180,2020-02-12,2020,2,12,2,1,2,4,1014503,3
